StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:44,2025/9/10 20:47,0,100,175,1,2025/9/10 20:47,R_6f1sIAa515s2IQM,,,,,-23.5475,-46.6361,anonymous,JA,1,2,54 ,4,2,4,2,2,1,1,3,1,3,2,2,2,,0co1nyPFadHkiU1fq2Vz8c
2025/9/10 20:45,2025/9/10 20:47,0,100,128,1,2025/9/10 20:47,R_7BXcS3niAhii4ky,,,,,-25.5026,-49.2908,anonymous,JA,1,1,49 ,5,3,5,1,1,1,3,5,4,1,2,2,4,,39VEQw1HOZUung7Mc7vqx4
2025/9/10 20:45,2025/9/10 20:47,0,100,120,1,2025/9/10 20:47,R_7m24eHvXtAZpR61,,,,,-25.5026,-49.2908,anonymous,JA,1,1,46 ,4,2,4,1,1,2,4,5,3,5,2,2,5,,29XFhA6hcTuIr6sWzRyXvb
2025/9/10 20:44,2025/9/10 20:47,0,100,166,1,2025/9/10 20:47,R_6z2fkwig92seDzH,,,,,-3.717,-38.5287,anonymous,JA,1,2,26 ,4,5,3,1,1,4,4,1,1,1,2,2,1,,5XMvOIqP4MHnp1KHQRgynH
2025/9/10 20:44,2025/9/10 20:47,0,100,187,1,2025/9/10 20:47,R_5xF2tfJLjQaESU9,,,,,-22.8192,-43.0402,anonymous,JA,1,1,21 ,2,3,5,1,3,2,2,4,1,1,2,2,2,,6stA4g0V7iNhZljLlwsNXO
2025/9/10 20:44,2025/9/10 20:47,0,100,153,1,2025/9/10 20:47,R_6gw4m1r9NMkcnzr,,,,,-1.345,-48.4219,anonymous,JA,1,1,25 ,2,3,2,2,2,3,3,2,2,3,1,3,,2,3czKTjDCYcsnFuqYe7XGcM
2025/9/10 20:44,2025/9/10 20:47,0,100,192,1,2025/9/10 20:47,R_7cTgsztDxB4r527,,,,,-23.5475,-46.6361,anonymous,JA,1,1,38 ,4,4,4,1,1,2,2,4,2,4,2,3,,3,3SlaW1lHZMRENAR84S8qAp
2025/9/10 20:43,2025/9/10 20:47,0,100,243,1,2025/9/10 20:47,R_52fjGJCJs6E5Ddr,,,,,-23.5475,-46.6361,anonymous,JA,1,1,45 ,4,4,4,1,1,1,3,4,1,2,2,1,2,,6ZNJeftgSJbTIYiJepc5Ne
2025/9/10 20:44,2025/9/10 20:47,0,100,190,1,2025/9/10 20:47,R_37iK8v0R56d1wSR,,,,,-23.3998,-46.3222,anonymous,JA,1,1,33 ,4,3,2,2,2,2,2,2,2,2,2,2,2,,11I5XfxFf8ZltF6bqHdcxm
2025/9/10 20:45,2025/9/10 20:47,0,100,151,1,2025/9/10 20:47,R_546jVhevKruzIhH,,,,,-22.8951,-47.0439,anonymous,JA,1,1,31 ,1,2,2,1,3,3,3,6,6,5,4,3,,3,1XFGFjyXdSnUGFwKS6BWfA
2025/9/10 20:45,2025/9/10 20:47,0,100,109,1,2025/9/10 20:47,R_5QlVGPPS7TdOl25,,,,,-23.5475,-46.6361,anonymous,JA,1,2,49 ,5,5,5,1,1,1,3,5,5,4,2,3,,3,2neUrApz7k0V1nNXAL6DZL
